,,,
,,Time,Reaction
,,5.5,-0.7831134401
,,5.5166666667,-0.7802056877
,,5.5333333333,-0.7775000861
,,5.55,-0.7750019767
,,5.5666666667,-0.7727159937
,,5.5833333333,-0.7706460598
,,5.6,-0.7687953845
,,5.6166666667,-0.7671664645
,,5.6333333333,-0.7657610864
,,5.65,-0.7645803314
,,5.6666666667,-0.7636245818
,,5.6833333333,-0.7628935304
,,5.7,-0.7623861906
,,5.7166666667,-0.7621009097
,,5.7333333333,-0.7620353831
,,5.75,-0.7621866707
,,5.7666666667,-0.7625512149
,,5.7833333333,-0.7631248604
,,5.8,-0.763902875
,,5.8166666667,-0.7648799728
,,5.8333333333,-0.7660503378
,,5.85,-0.767407649
,,5.8666666667,-0.7689451074
,,5.8833333333,-0.7706554629
,,5.9,-0.7725310434
,,5.9166666667,-0.7745637836
,,5.9333333333,-0.7767452554
,,5.95,-0.779066699
,,5.9666666667,-0.7815190536
,,5.9833333333,-0.7840929899
,,6,-0.7867789422
,,6.0166666667,-0.7895671403
,,6.0333333333,-0.7924476431
,,6.05,-0.7954103704
,,6.0666666667,-0.798445136
,,6.0833333333,-0.8015416801
,,6.1,-0.8046897018
,,6.1166666667,-0.8078788904
,,6.1333333333,-0.8110989575
,,6.15,-0.8143396677
,,6.1666666667,-0.8175908692
,,6.1833333333,-0.8208425229
,,6.2,-0.8240847323
,,6.2166666667,-0.8273077705
,,6.2333333333,-0.8305021083
,,6.25,-0.8336584395
,,6.2666666667,-0.8367677068
,,6.2833333333,-0.8398211253
,,6.3,-0.8428102055
,,6.3166666667,-0.8457267748
,,6.3333333333,-0.8485629981
,,6.35,-0.8513113963
,,6.3666666667,-0.8539648645
,,6.3833333333,-0.8565166881
,,6.4,-0.8589605575
,,6.4166666667,-0.8612905814
,,6.4333333333,-0.8635012993
,,6.45,-0.8655876914
,,6.4666666667,-0.8675451877
,,6.4833333333,-0.8693696756
,,6.5,-0.8710575059
,,6.5166666667,-0.8726054972
,,6.5333333333,-0.8740109387
,,6.55,-0.8752715921
,,6.5666666667,-0.8763856914
,,6.5833333333,-0.8773519415
,,6.6,-0.8781695157
,,6.6166666667,-0.8788380511
,,6.6333333333,-0.8793576436
,,6.65,-0.8797288404
,,6.6666666667,-0.8799526326
,,6.6833333333,-0.8800304451
,,6.7,-0.8799641269
,,6.7166666667,-0.8797559387
,,6.7333333333,-0.8794085405
,,6.75,-0.8789249776
,,6.7666666667,-0.8783086661
,,6.7833333333,-0.8775633771
,,6.8,-0.87669322
,,6.8166666667,-0.8757026254
,,6.8333333333,-0.8745963268
,,6.85,-0.8733793423
,,6.8666666667,-0.8720569545
,,6.8833333333,-0.8706346915
,,6.9,-0.8691183062
,,6.9166666667,-0.8675137554
,,6.9333333333,-0.8658271792
,,6.95,-0.8640648792
,,6.9666666667,-0.8622332976
,,6.9833333333,-0.860338995
,,7,-0.8583886292
,,7.0166666667,-0.8563889336
,,7.0333333333,-0.854346695
,,7.05,-0.8522687331
,,7.0666666667,-0.8501618786
,,7.0833333333,-0.8480329524
,,7.1,-0.8458887453
,,7.1166666667,-0.8437359976
,,7.1333333333,-0.8415813789
,,7.15,-0.8394314698
,,7.1666666667,-0.837292742
,,7.1833333333,-0.8351715411
,,7.2,-0.8330740685
,,7.2166666667,-0.8310063651
,,7.2333333333,-0.8289742948
,,7.25,-0.8269835292
,,7.2666666667,-0.8250395335
,,7.2833333333,-0.8231475525
,,7.3,-0.8213125978
,,7.3166666667,-0.8195394359
,,7.3333333333,-0.8178325773
,,7.35,-0.8161962666
,,7.3666666667,-0.8146344729
,,7.3833333333,-0.8131508821
,,7.4,-0.8117488895
,,7.4166666667,-0.8104315937
,,7.4333333333,-0.8092017914
,,7.45,-0.8080619734
,,7.4666666667,-0.8070143211
,,7.4833333333,-0.8060607043
,,7.5,-0.8052026802
,,7.5166666667,-0.804441493
,,7.5333333333,-0.8037780744
,,7.55,-0.8032130457
,,7.5666666667,-0.8027467199
,,7.5833333333,-0.8023791053
,,7.6,-0.8021099098
,,7.6166666667,-0.8019385463
,,7.6333333333,-0.8018641383
,,7.65,-0.801885527
,,7.6666666667,-0.8020012789
,,7.6833333333,-0.8022096939
,,7.7,-0.8025088141
,,7.7166666667,-0.802896434
,,7.7333333333,-0.8033701103
,,7.75,-0.8039271729
,,7.7666666667,-0.804564736
,,7.7833333333,-0.8052797105
,,7.8,-0.8060688158
,,7.8166666667,-0.8069285926
,,7.8333333333,-0.8078554163
,,7.85,-0.8088455099
,,7.8666666667,-0.8098949582
,,7.8833333333,-0.810999721
,,7.9,-0.812155648
,,7.9166666667,-0.8133584922
,,7.9333333333,-0.8146039249
,,7.95,-0.8158875494
,,7.9666666667,-0.8172049159
,,7.9833333333,-0.8185515354
,,8,-0.819922894
,,8.0166666667,-0.8213144671
,,8.0333333333,-0.8227217334
,,8.05,-0.8241401882
,,8.0666666667,-0.8255653574
,,8.0833333333,-0.82699281
,,8.1,-0.8284181718
,,8.1166666667,-0.8298371372
,,8.1333333333,-0.8312454816
,,8.15,-0.8326390731
,,8.1666666667,-0.8340138836
,,8.1833333333,-0.8353659998
,,8.2,-0.8366916332
,,8.2166666667,-0.8379871301
,,8.2333333333,-0.8392489806
,,8.25,-0.8404738274
,,8.2666666667,-0.8416584734
,,8.2833333333,-0.8427998898
,,8.3,-0.8438952223
,,8.3166666667,-0.8449417978
,,8.3333333333,-0.8459371294
,,8.35,-0.8468789219
,,8.3666666667,-0.8477650754
,,8.3833333333,-0.8485936895
,,8.4,-0.8493630659
,,8.4166666667,-0.8500717106
,,8.4333333333,-0.8507183359
,,8.45,-0.8513018609
,,8.4666666667,-0.8518214122
,,8.4833333333,-0.8522763236
,,8.5,-0.8526661346
,,8.5166666667,-0.8529905898
,,8.5333333333,-0.8532496359
,,8.55,-0.8534434194
,,8.5666666667,-0.8535722833
,,8.5833333333,-0.8536367629
,,8.6,-0.8536375821
,,8.6166666667,-0.8535756477
,,8.6333333333,-0.8534520446
,,8.65,-0.8532680298
,,8.6666666667,-0.853025026
,,8.6833333333,-0.8527246151
,,8.7,-0.8523685308
,,8.7166666667,-0.8519586518
,,8.7333333333,-0.851496993
,,8.75,-0.8509856986
,,8.7666666667,-0.8504270326
,,8.7833333333,-0.8498233712
,,8.8,-0.8491771933
,,8.8166666667,-0.8484910716
,,8.8333333333,-0.8477676637
,,8.85,-0.8470097027
,,8.8666666667,-0.8462199875
,,8.8833333333,-0.845401374
,,8.9,-0.8445567647
,,8.9166666667,-0.8436891002
,,8.9333333333,-0.8428013487
,,8.95,-0.8418964977
,,8.9666666667,-0.8409775434
,,8.9833333333,-0.8400474826
,,9,-0.8391093028
,,9.0166666667,-0.8381659736
,,9.0333333333,-0.8372204378
,,9.05,-0.8362756029
,,9.0666666667,-0.8353343327
,,9.0833333333,-0.8343994393
,,9.1,-0.8334736752
,,9.1166666667,-0.8325597258
,,9.1333333333,-0.8316602022
,,9.15,-0.8307776344
,,9.1666666667,-0.8299144645
,,9.1833333333,-0.8290730409
,,9.2,-0.8282556123
,,9.2166666667,-0.827464322
,,9.2333333333,-0.8267012037
,,9.25,-0.8259681758
,,9.2666666667,-0.8252670381
,,9.2833333333,-0.8245994677
,,9.3,-0.8239670155
,,9.3166666667,-0.8233711035
,,9.3333333333,-0.8228130222
,,9.35,-0.8222939287
,,9.3666666667,-0.8218148448
,,9.3833333333,-0.8213766563
,,9.4,-0.8209801116
,,9.4166666667,-0.8206258219
,,9.4333333333,-0.8203142614
,,9.45,-0.8200457671
,,9.4666666667,-0.8198205405
,,9.4833333333,-0.8196386485
,,9.5,-0.8195000254
,,9.5166666667,-0.8194044745
,,9.5333333333,-0.8193516712
,,9.55,-0.8193411655
,,9.5666666667,-0.819372385
,,9.5833333333,-0.8194446386
,,9.6,-0.8195571205
,,9.6166666667,-0.8197089137
,,9.6333333333,-0.819898995
,,9.65,-0.8201262392
,,9.6666666667,-0.8203894242
